ID,GESTION,CATEGORIA,MES,BIMESTRE,TRIMESTRE,CUATRIMESTRE,SEMESTRE,ADUANA,NANDINA,PARTIDA,SUBPARTIDA,CAPITULO,SECCION,PAIS,AREA,MEDIO,VIA,DEPTO,CUCI,GCE,SECTOR,CODACT,CIIU_SECCION,CIIU,TNT,TNT_GRUPO,TNT_CLASE,KILBRU,KILNET,FINUNI,VALOR
110,1992,1,1,1,1,1,1,0,6110200000,6110,611020,61,11,23,40,5,9,3,8453,620,4,D9,D,1730,34,21,2,12,12,12,274
111,1992,1,1,1,1,1,1,0,6115910000,6115,611591,61,11,23,40,5,9,3,84629,630,4,D9,D,1730,34,21,2,9,9,9,205
112,1992,1,1,1,1,1,1,0,6505900000,6505,650590,65,12,23,40,5,9,3,84843,620,4,D11,D,1810,34,21,2,6,6,6,137
113,1992,1,1,1,1,1,1,0,9502100000,9502,950210,95,20,23,40,5,9,3,89422,620,4,D29,D,3694,34,21,2,1,1,1,23
114,1992,1,1,1,1,1,1,0,6104490000,6104,610449,61,11,63,10,5,9,3,84424,620,4,D11,D,1810,34,21,2,248,248,248,4408
115,1992,1,1,1,1,1,1,0,7612100000,7612,761210,76,15,63,10,5,9,3,69242,410,4,D29,D,2899,34,21,2,345,345,345,3694
116,1992,1,1,1,1,1,1,0,0603100000,0603,060310,06,2,105,10,5,9,3,29271,630,1,A61,A,0112,34,21,2,314,314,314,1022
117,1992,1,1,1,1,1,1,0,0803000000,0803,080300,08,2,211,10,8,2,3,0573,112,1,A12,A,0113,34,21,2,12500,12500,12500,1546
118,1992,1,1,1,1,1,1,0,1208100000,1208,120810,12,2,211,10,8,2,3,2239,121,4,D5,D,1514,18,21,2,1302872,1300000,1300000,276000
119,1992,1,1,1,1,1,1,0,2304000000,2304,230400,23,4,211,10,8,3,3,08131,220,4,D5,D,1514,18,21,2,200450,200000,200000,44000
120,1992,1,1,1,1,1,1,0,0511991000,0511,051199,05,1,245,40,9,3,3,29199,210,1,A11,A,0121,34,21,2,3000,2400,2400,62400
121,1992,1,1,1,1,1,1,0,0801200000,0801,080120,08,2,249,32,8,3,3,05772,112,1,A1,A,0113,9,21,2,15600,15600,15600,43930
122,1992,1,1,1,1,1,1,0,0603100000,0603,060310,06,2,249,32,5,9,3,29271,630,1,A61,A,0112,34,21,2,13978,13978,13978,57830
123,1992,1,1,1,1,1,1,0,4202190000,4202,420219,42,8,249,32,5,9,3,83129,620,4,D10,D,1912,15,21,2,140,140,140,54000
124,1992,1,1,1,1,1,1,0,4202190000,4202,420219,42,8,249,32,5,9,3,83129,620,4,D10,D,1912,15,21,2,454,454,454,22590
125,1992,1,1,1,1,1,1,0,4901990000,4901,490199,49,10,249,32,5,9,3,89219,630,4,D29,D,2211,34,21,2,500,500,500,950
126,1992,1,1,1,1,1,1,0,5703100000,5703,570310,57,11,249,32,5,9,3,65941,610,4,D9,D,1722,34,21,2,102,102,102,668
127,1992,1,1,1,1,1,1,0,6110100000,6110,611010,61,11,249,32,5,9,3,8453,620,4,D9,D,1730,34,21,2,18594,18594,18594,20180
128,1992,1,1,1,1,1,1,0,6403590000,6403,640359,64,12,249,32,5,9,3,85148,620,4,D12,D,1920,34,21,2,1700,1700,1700,45048
129,1992,1,1,1,1,1,1,0,6914900000,6914,691490,69,13,249,32,5,9,3,66399,220,4,D29,D,2691,34,21,2,298,298,298,1703
130,1992,1,1,1,1,1,1,0,7113190000,7113,711319,71,14,249,32,5,9,3,89731,610,4,D28,D,3691,21,21,2,5,3,3,20737
131,1992,1,1,1,1,1,1,0,0511991000,0511,051199,05,1,275,40,5,9,3,29199,210,1,A11,A,0121,34,21,2,303,300,300,6600
132,1992,1,1,1,1,1,1,0,0603100000,0603,060310,06,2,275,40,5,9,3,29271,630,1,A61,A,0112,34,21,2,376,376,376,2200
133,1992,1,1,1,1,1,1,0,0801200000,0801,080120,08,2,573,40,8,3,3,05772,112,1,A1,A,0113,9,21,2,15600,15600,15600,37409
